#      time         order        t            tair         tout      
 2.7777777778E-09   1.0000       16.990      -7.2000       21.000    
 9.9685314460E-02   1.0000       16.990      -7.2000       21.001    
 0.1993706261       1.0000       16.990      -7.2000       21.000    
 0.1993706289       1.0000       16.990      -7.2000       21.000    
 0.2791188783       1.0000       16.990      -7.2000       21.000    
 0.3588671276       1.0000       16.990      -7.2000       21.000    
 0.5183636263       1.0000       16.990      -7.2000       21.000    
 0.8373566237       1.0000       16.990      -7.2000       21.000    
  1.475342618       1.0000       16.990      -6.9623       21.000    
  2.751314608       1.0000       16.990      -6.7751       21.000    
  4.251314608       1.0000       16.990      -7.2749       21.000    
  5.751314608       1.0000       16.990      -7.0497       21.000    
  7.251314608       1.0000       16.990      -8.1989       21.000    
  8.751314608       1.0000       16.990      -6.3979       21.000    
  10.25131461       1.0000       16.990      -4.6230       21.000    
  11.75131461       1.0000       16.990      -2.5233       21.000    
  13.25131461       1.0000       16.990     -0.32461       21.000    
  14.75131461       1.0000       16.990      5.02629E-02   21.000    
  16.25131461       1.0000       16.990     -0.34974       21.000    
  17.75131461       1.0000       16.990     -0.20000       21.000    
  19.25131461       1.0000       16.990     -0.55079       21.000    
  20.75131461       1.0000       16.990      -1.3005       21.000    
  22.25131461       1.0000       16.990      -1.8503       21.000    
  23.75131461       1.0000       16.990      -2.3005       21.000    
  23.98178839       1.0000       16.990      -2.3927       21.000    
  23.98178839       1.0000       16.990      -2.3927       21.000    
  26.02334358       1.0000       16.990      -3.8000       21.000    
  27.52334358       1.0000       16.990      -3.5907       21.000    
  29.02334358       1.0000       16.990      -2.8047       21.000    
  30.52334358       1.0000       16.990      -2.5813       21.000    
  32.02334358       1.0000       16.990      -2.6650       21.000    
  33.52334358       1.0000       16.990     -0.93833       21.000    
  35.02334358       1.0000       16.990     -0.10000       21.000    
  36.52334358       1.0000       16.990     -0.10000       21.000    
  38.02334358       1.0000       16.990     -0.39767       21.000    
  39.52334358       1.0000       16.990     -0.35233       21.000    
  41.02334358       1.0000       16.990      -1.4140       21.000    
  42.52334358       1.0000       16.990      -2.3140       21.000    
  44.02334358       1.0000       16.990      -2.8000       21.000    
  45.52334358       1.0000       16.990      -3.2187       21.000    
  47.02334358       1.0000       16.990      -6.4373       21.000    
  47.99019432       1.0000       16.990      -7.9843       21.000    
  47.99019432       1.0000       16.990      -7.9843       21.000    
  50.39019432       1.0000       16.990      -7.2000       21.000    
